# XDI/1.0 Hephaestus/0.9.26
# Element.edge:                  K
# Element.symbol:                Cu
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Column.9:                      chi(e)
# Athena.e0:                     8977.97
# Athena.eshift:                 0
# Athena.rbkg:                   1
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              1.5112261
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.168335 - 0.000381749 * E
# Athena.normalization_range:    100.000 1000.000
# Athena.post_edge_polynomial:   31.859671 - 0.00560643 * E + 2.57144883e-007 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1234.435
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 18.000
# Athena.kweight:                1
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 17.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0        chie
  8957.6310       0.75344407       0.75344407       0.74876573        2.2724521       0.12603690E-04   0.24241113E-03    301649.00        0.0000000
  8958.1050       0.75366816       0.75366816       0.74858478        2.2719783       0.26815508E-03  -0.14241913E-04    301502.00        0.0000000
  8958.5810       0.75369882       0.75369882       0.74840307        2.2715027      -0.92612771E-06   0.67942287E-04    301439.00        0.0000000
  8959.0560       0.75366728       0.75366728       0.74822174        2.2710281       0.33276819E-03   0.41757638E-03    301353.00        0.0000000
  8959.5310       0.75401495       0.75401495       0.74804041        2.2705537       0.39577144E-03   0.33647941E-04    301292.00        0.0000000
  8960.0490       0.75406028       0.75406028       0.74784266        2.2700365       0.36618060E-03   0.26603054E-03    301193.00        0.0000000
  8960.5240       0.75437857       0.75437857       0.74766133        2.2695624       0.65993977E-03   0.65649194E-03    301072.00        0.0000000
  8961.0000       0.75468788       0.75468788       0.74747962        2.2690873       0.99050443E-03  -0.37583656E-03    301012.00        0.0000000
  8961.4750       0.75532054       0.75532054       0.74729829        2.2686134       0.30251920E-03  -0.10596718E-02    300962.00        0.0000000
  8961.9500       0.75497528       0.75497528       0.74711696        2.2681396      -0.16183762E-04   0.12964544E-03    300873.00        0.0000000
  8962.4690       0.75530445       0.75530445       0.74691883        2.2676220       0.43138677E-03   0.49222177E-03    300772.00        0.0000000
  8962.9440       0.75540407       0.75540407       0.74673750        2.2671484       0.47308468E-03   0.31615032E-03    300670.00        0.0000000
  8963.4200       0.75575436       0.75575436       0.74655579        2.2666739       0.73204572E-03   0.59564587E-03    300605.00        0.0000000
  8963.8960       0.75610098       0.75610098       0.74637407        2.2661996       0.10401395E-02   0.46526196E-03    300509.00        0.0000000
  8964.3710       0.75674353       0.75674353       0.74619274        2.2657264       0.11745098E-02  -0.25576038E-03    300440.00        0.0000000
  8964.8900       0.75726845       0.75726845       0.74599461        2.2652095       0.78591373E-03  -0.51689787E-04    300312.00        0.0000000
  8965.3650       0.75752473       0.75752473       0.74581328        2.2647365       0.11231302E-02   0.29651147E-03    300229.00        0.0000000
  8965.8420       0.75833766       0.75833766       0.74563119        2.2642616       0.10681926E-02  -0.14632700E-03    300217.00        0.0000000
  8966.3170       0.75854165       0.75854165       0.74544986        2.2637889       0.98382689E-03   0.50422617E-03    300148.00        0.0000000
  8966.7930       0.75927328       0.75927328       0.74526814        2.2633152       0.15477117E-02   0.11151001E-02    300107.00        0.0000000
  8967.2700       0.76001662       0.76001662       0.74508605        2.2628407       0.20465173E-02   0.75974768E-03    300003.00        0.0000000
  8967.7880       0.76130957       0.76130957       0.74488830        2.2623256       0.23036607E-02  -0.52179011E-03    299873.00        0.0000000
